"Time","Type","NbrCalls"
2016-12-28 08:00:00,"Trash / Recycling-Services-Service Issue / Problem",20
2016-12-28 08:00:00,"Trash / Recycling-Trash Collection-Missed by City",23
2016-12-28 08:00:00,"Trash / Recycling-Trash Collection-Missed by Contractor South",92
2016-12-28 08:00:00,"Trees-Trimming-Tree Limbs",17
2016-12-28 08:00:00,"Vehicles / Parking-Abandoned On Street-Car",60
2016-12-28 09:00:00,"Animals / Pets-Dead Animal -Curb",39
2016-12-28 09:00:00,"Animals / Pets-Stray-At Large - Non-Aggressive",46
2016-12-28 09:00:00,"Prop/Build/Construct-Dangerous Building-Open to entry",46
2016-12-28 09:00:00,"Property Violations",214
2016-12-28 09:00:00,"Trash / Recycling-Recycling-Missed by Contractor South",25
2016-12-28 09:00:00,"Trash / Recycling-Services-Service Issue / Problem",25
2016-12-28 09:00:00,"Trash / Recycling-Trash Collection-Missed by City",16
2016-12-28 09:00:00,"Trash / Recycling-Trash Collection-Missed by Contractor South",70
2016-12-28 09:00:00,"Trees-Trimming-Tree Limbs",39
2016-12-28 09:00:00,"Vehicles / Parking-Abandoned On Street-Car",49
2016-12-28 10:00:00,"Animals / Pets-Dead Animal -Curb",54
2016-12-28 10:00:00,"Animals / Pets-Stray-At Large - Non-Aggressive",45
2016-12-28 10:00:00,"Prop/Build/Construct-Dangerous Building-Open to entry",35
2016-12-28 10:00:00,"Property Violations",230
2016-12-28 10:00:00,"Trash / Recycling-Recycling-Missed by Contractor South",28
2016-12-28 10:00:00,"Trash / Recycling-Services-Service Issue / Problem",25
2016-12-28 10:00:00,"Trash / Recycling-Trash Collection-Missed by City",13
2016-12-28 10:00:00,"Trash / Recycling-Trash Collection-Missed by Contractor South",57
2016-12-28 10:00:00,"Trees-Trimming-Tree Limbs",47
2016-12-28 10:00:00,"Vehicles / Parking-Abandoned On Street-Car",65
2016-12-28 11:00:00,"Animals / Pets-Dead Animal -Curb",33
2016-12-28 11:00:00,"Animals / Pets-Stray-At Large - Non-Aggressive",45
2016-12-28 11:00:00,"Prop/Build/Construct-Dangerous Building-Open to entry",38
2016-12-28 11:00:00,"Property Violations",239
2016-12-28 11:00:00,"Trash / Recycling-Recycling-Missed by Contractor South",9
2016-12-28 11:00:00,"Trash / Recycling-Services-Service Issue / Problem",33
2016-12-28 11:00:00,"Trash / Recycling-Trash Collection-Missed by City",11
2016-12-28 11:00:00,"Trash / Recycling-Trash Collection-Missed by Contractor South",28
2016-12-28 11:00:00,"Trees-Trimming-Tree Limbs",36
2016-12-28 11:00:00,"Vehicles / Parking-Abandoned On Street-Car",58
2016-12-28 12:00:00,"Animals / Pets-Dead Animal -Curb",32
2016-12-28 12:00:00,"Animals / Pets-Stray-At Large - Non-Aggressive",33
2016-12-28 12:00:00,"Prop/Build/Construct-Dangerous Building-Open to entry",26
2016-12-28 12:00:00,"Property Violations",182
2016-12-28 12:00:00,"Trash / Recycling-Recycling-Missed by Contractor South",15
2016-12-28 12:00:00,"Trash / Recycling-Services-Service Issue / Problem",22
2016-12-28 12:00:00,"Trash / Recycling-Trash Collection-Missed by City",16
2016-12-28 12:00:00,"Trash / Recycling-Trash Collection-Missed by Contractor South",45
2016-12-28 12:00:00,"Trees-Trimming-Tree Limbs",33
2016-12-28 12:00:00,"Vehicles / Parking-Abandoned On Street-Car",44
2016-12-28 13:00:00,"Animals / Pets-Dead Animal -Curb",38
2016-12-28 13:00:00,"Animals / Pets-Stray-At Large - Non-Aggressive",34
2016-12-28 13:00:00,"Prop/Build/Construct-Dangerous Building-Open to entry",38
2016-12-28 13:00:00,"Property Violations",208
2016-12-28 13:00:00,"Trash / Recycling-Recycling-Missed by Contractor South",14
2016-12-28 13:00:00,"Trash / Recycling-Services-Service Issue / Problem",29
2016-12-28 13:00:00,"Trash / Recycling-Trash Collection-Missed by City",18
2016-12-28 13:00:00,"Trash / Recycling-Trash Collection-Missed by Contractor South",27
2016-12-28 13:00:00,"Trees-Trimming-Tree Limbs",32
2016-12-28 13:00:00,"Vehicles / Parking-Abandoned On Street-Car",50
2016-12-28 14:00:00,"Animals / Pets-Dead Animal -Curb",32
2016-12-28 14:00:00,"Animals / Pets-Stray-At Large - Non-Aggressive",33
2016-12-28 14:00:00,"Prop/Build/Construct-Dangerous Building-Open to entry",57
2016-12-28 14:00:00,"Property Violations",212
2016-12-28 14:00:00,"Trash / Recycling-Recycling-Missed by Contractor South",11
2016-12-28 14:00:00,"Trash / Recycling-Services-Service Issue / Problem",24
2016-12-28 14:00:00,"Trash / Recycling-Trash Collection-Missed by City",8
2016-12-28 14:00:00,"Trash / Recycling-Trash Collection-Missed by Contractor South",30
2016-12-28 14:00:00,"Trees-Trimming-Tree Limbs",33
2016-12-28 14:00:00,"Vehicles / Parking-Abandoned On Street-Car",48
2016-12-28 15:00:00,"Animals / Pets-Dead Animal -Curb",30
2016-12-28 15:00:00,"Animals / Pets-Stray-At Large - Non-Aggressive",44
2016-12-28 15:00:00,"Prop/Build/Construct-Dangerous Building-Open to entry",24
2016-12-28 15:00:00,"Property Violations",250
2016-12-28 15:00:00,"Trash / Recycling-Recycling-Missed by Contractor South",13
2016-12-28 15:00:00,"Trash / Recycling-Services-Service Issue / Problem",30
2016-12-28 15:00:00,"Trash / Recycling-Trash Collection-Missed by City",15
2016-12-28 15:00:00,"Trash / Recycling-Trash Collection-Missed by Contractor South",38
2016-12-28 15:00:00,"Trees-Trimming-Tree Limbs",35
2016-12-28 15:00:00,"Vehicles / Parking-Abandoned On Street-Car",39
2016-12-28 16:00:00,"Animals / Pets-Dead Animal -Curb",31
2016-12-28 16:00:00,"Animals / Pets-Stray-At Large - Non-Aggressive",41
2016-12-28 16:00:00,"Prop/Build/Construct-Dangerous Building-Open to entry",23
2016-12-28 16:00:00,"Property Violations",177
2016-12-28 16:00:00,"Trash / Recycling-Recycling-Missed by Contractor South",10
2016-12-28 16:00:00,"Trash / Recycling-Services-Service Issue / Problem",21
